%name       obsNum      type     dRa(mas)     dDe(mas)
0436+426         5      none       0.0563      -0.0654
0442+389       102      none      -0.0496      -0.1272
0445+364         5      none      -0.2930      -0.0849
0505+354         5      none      -0.0595      -0.0364
0520+411         5      none       0.0073       0.0249
0530+421         5      none       0.1804       0.1229
0548+378        87      none      -0.0380       0.0552
0555+378         5      none      -0.0507      -0.0730
0559+422         5      none      -0.0409      -0.0367
0602+405        15      none       0.0037       0.0933
0609+413         5      none      -0.0364      -0.0655
0620+389        23      none      -0.1192       0.0510
0641+392       482    define      -0.0402      -0.0091
0650+371         9      none      -0.2129      -0.0403
0651+410        14      none      -0.0039       0.0395
0707+424         5      none      -0.2183       0.1500
0710+439        20      none      -0.0410       1.1577
0711+356        23      none      -0.2560       0.3346
0718+374         5      none       0.1851      -0.1287
0727+409         7      none      -0.0442      -0.1547
0739+398         5      none      -0.0144      -0.2691
0749+376         5      none       0.1209       0.0938
0749+426         5      none      -0.3024      -0.2952
0807+417         5      none      -0.1754      -0.0180
0812+367        95      none      -0.0544      -0.0407
0819+408         5      none      -0.0389       0.1238
0821+394       392      none      -0.0478       0.0151
0824+355         4      none      -0.2268      -0.2672
0830+425         5      none       0.0273       0.0675
0833+416         5      none      -0.0209      -0.1554
0836+426         5      none      -0.0483      -0.0975
